ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
0,BELL AVE / N GRAND B,St. Louis,MO,"0 BELL AVE / N GRAND B, St. Louis, MO",,,"38.6423501,-90.2315014"
0,CHOUTEAU AVE / S SPR,St. Louis,MO,"0 CHOUTEAU AVE / S SPR, St. Louis, MO",,,"38.6267783,-90.2426759"
0,N 20TH ST / CASS AVE,St. Louis,MO,"0 N 20TH ST / CASS AVE, St. Louis, MO",,,"38.6434599,-90.2073616"
4141,E CARTER AVE,St. Louis,MO,"4141 E CARTER AVE, St. Louis, MO",,,"38.6735777,-90.2251088"
0,N 9TH ST / DICKSON S,St. Louis,MO,"0 N 9TH ST / DICKSON S, St. Louis, MO",,,"38.6393174,-90.192009"
0,I 70 WESTBOUND / MEM,St. Louis,MO,"0 I 70 WESTBOUND / MEM, St. Louis, MO",,,NA
5893,DR MARTIN LUTHER KIN,St. Louis,MO,"5893 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6737275,-90.2843609"
0,N BROADWAY / MULLANP,St. Louis,MO,"0 N BROADWAY / MULLANP, St. Louis, MO",,,"38.6411637,-90.1882475"
0,I 55 SOUTHBOUND / S,St. Louis,MO,"0 I 55 SOUTHBOUND / S, St. Louis, MO",,,NA
0,UNION BLVD / LILLIAN,St. Louis,MO,"0 UNION BLVD / LILLIAN, St. Louis, MO",,,"38.6902064,-90.2500247"
0,N 20TH ST / OLIVE ST,St. Louis,MO,"0 N 20TH ST / OLIVE ST, St. Louis, MO",,,"38.6319629,-90.2106251"
0,CLAY AVE / W NATURAL,St. Louis,MO,"0 CLAY AVE / W NATURAL, St. Louis, MO",,,"38.6654157,-90.2288744"
5311,DR MARTIN LUTHER KIN,St. Louis,MO,"5311 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6662558,-90.2700799"
0,CHOUTEAU AVE / TOWER,St. Louis,MO,"0 CHOUTEAU AVE / TOWER, St. Louis, MO",,,"38.6295301,-90.2582442"
4261,W ALDINE AVE,St. Louis,MO,"4261 W ALDINE AVE, St. Louis, MO",,,"38.656387,-90.2439057"
0,VIVIAN PL / W FLORIS,St. Louis,MO,"0 VIVIAN PL / W FLORIS, St. Louis, MO",,,"38.7074055,-90.2522011"
1619,OFALLON ST,St. Louis,MO,"1619 OFALLON ST, St. Louis, MO",,,"38.6398788,-90.202079"
4200,E MARGARETTA AVE,St. Louis,MO,"4200 E MARGARETTA AVE, St. Louis, MO",,,"38.6705501,-90.2342219"
2106,E LINTON AVE,St. Louis,MO,"2106 E LINTON AVE, St. Louis, MO",,,"38.6738858,-90.2157029"
0,N EUCLID AVE / MCPHE,St. Louis,MO,"0 N EUCLID AVE / MCPHE, St. Louis, MO",,,"38.6484493,-90.2631428"
0,N 14TH ST / OLIVE ST,St. Louis,MO,"0 N 14TH ST / OLIVE ST, St. Louis, MO",,,"38.6302719,-90.2024998"
0,THEKLA AVE / RIVERVI,St. Louis,MO,"0 THEKLA AVE / RIVERVI, St. Louis, MO",,,"38.7030345,-90.2554257"
0,MICHIGAN AVE / SIDNE,St. Louis,MO,"0 MICHIGAN AVE / SIDNE, St. Louis, MO",,,"38.6070891,-90.2353266"
1000,CONVENTION PZ,St. Louis,MO,"1000 CONVENTION PZ, St. Louis, MO",,,"38.632438,-90.1957297"
0,W FLORISSANT AVE / H,St. Louis,MO,"0 W FLORISSANT AVE / H, St. Louis, MO",,,NA
10000,RIVERVIEW DR / SPRIN,St. Louis,MO,"10000 RIVERVIEW DR / SPRIN, St. Louis, MO",,,"38.7468572,-90.1994839"
0,N 10TH ST / CASS AVE,St. Louis,MO,"0 N 10TH ST / CASS AVE, St. Louis, MO",,,"38.6404326,-90.1928327"
0,SALOMA AVE / WOODSTO,St. Louis,MO,"0 SALOMA AVE / WOODSTO, St. Louis, MO",,,"38.699891,-90.2642804"
